subtype	FDR	geom_mean_c1	geom_mean_c2	fold_change	probe_set	description	gene_symbol
PR	< 1e-07	0.2254217	1.0760189	0.2094961	210448_s_at	"purinergic receptor P2X, ligand-gated ion channel, 5"	P2RX5
PR	0.0000058	0.2320627	1.0744835	0.2159761	218746_at	TAP binding protein-like	TAPBPL
PR	0.008852	0.2345601	1.073918	0.2184153	209312_x_at		Multiple Gene Symbols
PR	0.0000244	0.251744	1.0701903	0.235233	224404_s_at	Fc receptor-like 5	FCRL5
PR	0.0090817	0.2565478	1.0691959	0.2399446	204670_x_at		Multiple Gene Symbols
PR	0.001638	0.2602855	1.0684356	0.2436136	201669_s_at	myristoylated alanine-rich protein kinase C substrate	MARCKS
PR	0.0103223	0.2718799	1.0661481	0.2550114	201137_s_at	"major histocompatibility complex, class II, DP beta 1"	HLA-DPB1
PR	< 1e-07	0.2772089	1.0651308	0.2602581	217028_at	chemokine (C-X-C motif) receptor 4	CXCR4
PR	0.0096443	0.2783375	1.064918	0.2613699	221059_s_at	coactosin-like 1 (Dictyostelium)	COTL1
PR	0.00156	0.2819427	1.0642441	0.264923	203471_s_at	pleckstrin	PLEK
PR	0.0007665	0.2828746	1.0640714	0.2658418	224606_at	Kruppel-like factor 6	KLF6
PR	0.0137274	0.2883932	1.0630608	0.2712857	241844_x_at	transmembrane protein 156	TMEM156
PR	0.000582	0.2886372	1.0630166	0.2715265	228498_at	"Transcribed locus, strongly similar to XP_531236.1 PREDICTED: hypothetical protein [Pan troglodytes]"	
PR	0.0096443	0.2922779	1.0623615	0.275121	204207_s_at	RNA guanylyltransferase and 5'-phosphatase	RNGTT
PR	0.0000157	0.293688	1.0621101	0.2765138	229723_at	T-cell activation RhoGTPase activating protein	TAGAP
PR	0.0000244	0.3079896	1.0596293	0.2906579	226140_s_at	OTU domain containing 1	OTUD1
PR	0.0001521	0.3092778	1.0594118	0.2919335	207655_s_at	B-cell linker	BLNK
PR	0.000163	0.3116064	1.0590211	0.29424	225133_at	Kruppel-like factor 3 (basic)	KLF3
PR	< 1e-07	0.312517	1.0588691	0.2951423	200701_at	"Niemann-Pick disease, type C2"	NPC2
PR	0.0001832	0.3185083	1.0578807	0.3010815	226001_at	kelch-like 5 (Drosophila)	KLHL5
PR	0.0005057	0.3194178	1.0577323	0.3019836	225282_at	stromal membrane-associated GTPase-activating protein 2	SMAP2
PR	0.0044808	0.3329568	1.0555751	0.3154269	205569_at	lysosomal-associated membrane protein 3	LAMP3
PR	0.0046178	0.3353393	1.055205	0.3177954	221675_s_at	choline phosphotransferase 1	CHPT1
PR	0.0096443	0.3387268	1.0546835	0.3211644	1555832_s_at	"Homo sapiens, clone IMAGE:4096273, mRNA /// Kruppel-like factor 6"	KLF6
PR	0.0001784	0.3414275	1.0542717	0.3238515	203708_at	"phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)"	PDE4B
PR	0.002563	0.3468945	1.0534483	0.3292943	227189_at	copine V	CPNE5
PR	0.0000244	0.3504667	1.0529177	0.3328529	215346_at	"CD40 molecule, TNF receptor superfamily member 5"	CD40
PR	0.0138874	0.3506526	1.0528902	0.3330382	208306_x_at	"Major histocompatibility complex, class II, DR beta 3"	HLA-DRB1
PR	0.0002626	0.3511187	1.0528214	0.3335026	206584_at	lymphocyte antigen 96	LY96
PR	0.0071902	0.362521	1.051168	0.3448745	203411_s_at	lamin A/C	LMNA
PR	0.0010313	0.3634534	1.0510352	0.3458052	1554208_at	meiosis inhibitor 1	MEI1
PR	0.0131761	0.3653558	1.0507654	0.3477045	201952_at	activated leukocyte cell adhesion molecule	ALCAM
PR	0.0039544	0.366824	1.0505582	0.3491706	211458_s_at	GABA(A) receptor-associated protein like 1 /// GABA(A) receptors associated protein like 3 (pseudogene)	GABARAPL1 /// GABARAPL3
PR	0.0005215	0.3697858	1.0501428	0.3521291	205901_at	prepronociceptin	PNOC
PR	0.0046178	0.3730916	1.0496832	0.3554326	221004_s_at	integral membrane protein 2C	ITM2C
PR	0.0006296	0.3734149	1.0496385	0.3557557	208981_at	platelet/endothelial cell adhesion molecule (CD31 antigen)	PECAM1
PR	0.0035173	0.3918517	1.0471536	0.3742065	231747_at	cysteinyl leukotriene receptor 1	CYSLTR1
MS	< 1e-07	0.14422	1.2493882	0.1154325	208712_at	cyclin D1	CCND1
MS	0.0003383	0.2254742	1.1868138	0.1899828	203698_s_at	frizzled-related protein	FRZB
MS	0.0003485	0.2256191	1.1867262	0.1901189	203697_at	frizzled-related protein	FRZB
MS	0.0013164	0.2342806	1.181597	0.1982745	228592_at	"membrane-spanning 4-domains, subfamily A, member 1"	MS4A1
MS	0.0000904	0.2374721	1.17976	0.2012885	201721_s_at	lysosomal associated multispanning membrane protein 5	LAPTM5
MS	0.0000026	0.2449637	1.1755542	0.2083815	221969_at	Transcribed locus	
MS	0.0002175	0.2569812	1.1690984	0.2198114	206609_at	"melanoma antigen family C, 1"	MAGEC1
MS	< 1e-07	0.2666467	1.1641457	0.2290492	204794_at	dual specificity phosphatase 2	DUSP2
MS	< 1e-07	0.2722978	1.1613419	0.2344682	226068_at	spleen tyrosine kinase	SYK
MS	0.0000593	0.2901558	1.1528905	0.2516768	243780_at	"CDNA FLJ46553 fis, clone THYMU3038879"	
MS	< 1e-07	0.2983143	1.1492204	0.2595797	218826_at	"solute carrier family 35, member F2"	SLC35F2
MS	0.0000134	0.2983768	1.1491927	0.2596403	216834_at	regulator of G-protein signaling 1	RGS1
MS	0.0010223	0.3016245	1.1477631	0.2627933	210258_at	regulator of G-protein signaling 13	RGS13
MS	0.0033017	0.3080756	1.1449736	0.2690679	208711_s_at	cyclin D1	CCND1
MS	0.0006902	0.3167641	1.141318	0.2775424	205049_s_at	"CD79a molecule, immunoglobulin-associated alpha"	CD79A
MS	0.0025836	0.3206813	1.1397062	0.2813719	244419_at	Frizzled-related protein	FRZB
MS	0.0004873	0.3226917	1.1388876	0.2833394	202988_s_at	regulator of G-protein signaling 1	RGS1
MS	0.0000384	0.3345416	1.1341747	0.2949648	238605_at	nucleolar protein 4	NOL4
MS	0.0029247	0.3421996	1.131227	0.302503	223823_at	"potassium large conductance calcium-activated channel, subfamily M, beta member 2"	KCNMB2
MS	0.0000134	0.3594511	1.1248476	0.3195554	213135_at	T-cell lymphoma invasion and metastasis 1	TIAM1
MS	0.001228	0.3686113	1.1215976	0.3286485	202912_at	adrenomedullin	ADM
MS	< 1e-07	0.3690777	1.1214345	0.3291122	229050_s_at	small nucleolar RNA host gene (non-protein coding) 7	SNHG7
MS	0.0010223	0.3987797	1.1114981	0.3587767	1555779_a_at	"CD79a molecule, immunoglobulin-associated alpha"	CD79A
MS	0.0000432	0.3992084	1.1113608	0.3592068	224763_at	Ribosomal protein L37	RPL37
MS	0.0022042	0.4065625	1.1090306	0.3665926	235764_at	Transcribed locus	
MS	0.0007039	0.4138749	1.1067598	0.3739519	204912_at	"interleukin 10 receptor, alpha"	IL10RA
MS	0.0000026	0.4171784	1.1057485	0.3772815	50221_at	transcription factor EB	TFEB
MS	0.0000026	0.4184853	1.1053509	0.3785995	224814_at	dipeptidyl-peptidase 7	DPP7
MS	0.000005	0.4189291	1.1052162	0.3790472	200736_s_at	glutathione peroxidase 1	GPX1
MS	0.0001435	0.4196304	1.1050037	0.3797547	235276_at	Epithelial stromal interaction 1 (breast)	EPSTI1
MS	0.000171	0.423132	1.1039484	0.3832897	223103_at	StAR-related lipid transfer (START) domain containing 10	STARD10
MS	0.0019662	0.4323927	1.1012037	0.3926546	200665_s_at	"secreted protein, acidic, cysteine-rich (osteonectin)"	SPARC
MS	0.0062051	0.4328139	1.1010804	0.3930811	44783_s_at	hairy/enhancer-of-split related with YRPW motif 1	HEY1
MS	0.0003809	0.437035	1.0998523	0.3973579	206045_s_at	nucleolar protein 4	NOL4
MS	0.0010853	0.4395288	1.099133	0.3998869	242517_at	KISS1 receptor	KISS1R
MS	0.0033017	0.4414543	1.0985807	0.4018406	227396_at	"protein tyrosine phosphatase, receptor type, J"	PTPRJ
MS	0.0066968	0.452065	1.0955845	0.4126245	211032_at	COBL-like 1	COBLL1
MS	0.0038364	0.4659066	1.0917919	0.4267357	227265_at	fibrinogen-like 2	FGL2
MS	0.0001889	0.4665004	1.091632	0.4273422	208092_s_at	"family with sequence similarity 49, member A"	FAM49A
MS	0.0050974	0.4679378	1.0912459	0.4288106	228245_s_at	ovostatin 2 /// ovostatin /// similar to hCG38149 /// hypothetical protein LOC100132881	LOC100132881 /// LOC728715 /// OVOS /// OVOS2
MS	0.0033601	0.4764031	1.0889986	0.437469	211434_s_at	chemokine (C-C motif) receptor-like 2 /// similar to chemokine (C-C motif) receptor-like 2	CCRL2 /// LOC727811
MS	0.0017907	0.4780279	1.0885723	0.4391329	208690_s_at	PDZ and LIM domain 1 (elfin)	PDLIM1
MS	0.0038011	0.490031	1.0854727	0.4514448	225955_at	"meteorin, glial cell differentiation regulator-like /// similar to meteorin, glial cell differentiation regulator-like"	LOC653506 /// METRNL
MS	0.0069512	0.5039946	1.0819715	0.4658114	205691_at	synaptogyrin 3	SYNGR3
MS	0.0000516	0.5079379	1.0810024	0.4698767	1487_at	estrogen-related receptor alpha	ESRRA
MS	0.0024211	0.5081456	1.0809516	0.4700909	201811_x_at	SH3-domain binding protein 5 (BTK-associated)	SH3BP5
MS	0.0034335	0.5109465	1.0802686	0.4729809	222365_at	Transcribed locus	
MS	0.002451	0.516644	1.0788921	0.4788653	222968_at		
MS	0.0027566	0.5284011	1.0761042	0.4910316	227867_at	hypothetical protein LOC129293	LOC129293
MS	0.006024	0.5401117	1.0733954	0.5031806	232745_x_at	sperm flagellar 2	SPEF2
MF	< 1e-07	0.0512646	1.1813715	0.0433941	204602_at	dickkopf homolog 1 (Xenopus laevis)	DKK1
MF	< 1e-07	0.0638472	1.1669123	0.0547147	225681_at	collagen triple helix repeat containing 1	CTHRC1
MF	< 1e-07	0.0664108	1.1643379	0.0570374	226702_at	"cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial"	CMPK2
MF	< 1e-07	0.0773146	1.1544491	0.066971	202912_at	adrenomedullin	ADM
MF	0.0000014	0.0834708	1.1494974	0.072615	215176_x_at	netrin 3	NTN3
MF	0.0000124	0.0866169	1.1471137	0.0755086	203698_s_at	frizzled-related protein	FRZB
MF	0.0000258	0.0902225	1.1444918	0.0788319	216576_x_at	netrin 3	NTN3
MF	0.0000924	0.107842	1.1330942	0.0951748	203697_at	frizzled-related protein	FRZB
MF	0.000091	0.1150827	1.1289705	0.101936	222943_at	"glucosidase, beta, acid 3 (cytosolic)"	GBA3
MF	0.0000821	0.1154642	1.1287609	0.1022929	211645_x_at	NA	NA
MF	0.0000058	0.119649	1.1265085	0.1062122	217378_x_at	similar to hCG26659	LOC100130100
MF	< 1e-07	0.1239235	1.1242921	0.1102236	202688_at	"tumor necrosis factor (ligand) superfamily, member 10"	TNFSF10
MF	< 1e-07	0.1291495	1.1216896	0.1151384	220059_at	signal transducing adaptor family member 1	STAP1
MF	0.0000118	0.1324486	1.1201033	0.1182468	212843_at	neural cell adhesion molecule 1	NCAM1
MF	0.0000037	0.1329616	1.1198604	0.1187305	216207_x_at	immunoglobulin kappa variable 1D-13	IGKV1D-13
MF	0.0000037	0.1405299	1.1163875	0.1258792	235228_at	coiled-coil domain containing 85A	CCDC85A
MF	< 1e-07	0.1413306	1.1160317	0.1266367	206121_at	adenosine monophosphate deaminase 1 (isoform M)	AMPD1
MF	0.0005283	0.1443662	1.1147018	0.1295111	208712_at	cyclin D1	CCND1
MF	0.0000232	0.1510599	1.1118708	0.135861	211517_s_at	"interleukin 5 receptor, alpha"	IL5RA
MF	< 1e-07	0.1528194	1.1111487	0.1375328	205632_s_at	"phosphatidylinositol-4-phosphate 5-kinase, type I, beta"	PIP5K1B
MF	0.000098	0.1557689	1.1099575	0.1403377	209583_s_at	CD200 molecule	CD200
MF	0.0000067	0.1586459	1.1088184	0.1430766	202687_s_at	"tumor necrosis factor (ligand) superfamily, member 10"	TNFSF10
MF	0.0000357	0.1618072	1.1075916	0.1460892	217022_s_at	immunoglobulin heavy constant gamma 1 (G1m marker)	IGHG1
MF	< 1e-07	0.162372	1.1073751	0.1466278	213737_x_at	"golgi autoantigen, golgin subfamily a, 9 pseudogene"	GOLGA9P
MF	0.0001059	0.1643762	1.1066132	0.1485399	242625_at	radical S-adenosyl methionine domain containing 2	RSAD2
MF	0.0000594	0.1747105	1.102834	0.1584196	228218_at	NA	NA
MF	0.0027212	0.1749695	1.1027424	0.1586676	214777_at	immunoglobulin kappa variable 4-1	IGKV4-1
MF	0.0000048	0.1812335	1.1005683	0.1646727	219073_s_at	oxysterol binding protein-like 10	OSBPL10
MF	0.0039645	0.1852646	1.0992107	0.1685433	214070_s_at	"ATPase, class V, type 10B"	ATP10B
MF	0.0001989	0.1863213	1.09886	0.1695587	210744_s_at	"interleukin 5 receptor, alpha"	IL5RA
MF	0.0000303	0.1926812	1.0967926	0.1756769	214329_x_at	"tumor necrosis factor (ligand) superfamily, member 10"	TNFSF10
MF	0.0013468	0.1936432	1.0964862	0.1766034	219954_s_at	"glucosidase, beta, acid 3 (cytosolic)"	GBA3
MF	0.0024524	0.1941134	1.096337	0.1770563	202391_at	"brain abundant, membrane attached signal protein 1"	BASP1
MF	0.0024072	0.194812	1.0961161	0.1777294	221933_at	"neuroligin 4, X-linked"	NLGN4X
MF	0.0000077	0.1973299	1.0953266	0.1801562	203999_at	synaptotagmin I	SYT1
MF	0.0027212	0.1985819	1.094938	0.1813636	208146_s_at	"carboxypeptidase, vitellogenic-like"	CPVL
MF	0.0006063	0.2044682	1.093145	0.1870458	211990_at	"major histocompatibility complex, class II, DP alpha 1"	HLA-DPA1
MF	0.0008014	0.2064219	1.0925619	0.1889339	206834_at	"hemoglobin, delta"	HBD
MF	< 1e-07	0.2090389	1.0917899	0.1914644	214836_x_at	immunoglobulin kappa constant	IGKC
MF	0.000091	0.2095536	1.0916393	0.1919623	202973_x_at	"family with sequence similarity 13, member A"	FAM13A
MF	0.0001235	0.2102113	1.0914474	0.1925986	210613_s_at	synaptogyrin 1	SYNGR1
MF	< 1e-07	0.2146923	1.0901565	0.1969372	205671_s_at	"major histocompatibility complex, class II, DO beta"	HLA-DOB
MF	0.0000408	0.2163306	1.0896916	0.1985246	212592_at	"immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides"	IGJ
MF	0.0003558	0.2377506	1.0839346	0.2193403	235372_at	Fc receptor-like A	FCRLA
MF	0.0011617	0.2494291	1.0810223	0.2307345	238452_at	Fc receptor-like B	FCRLB
MF	< 1e-07	0.2505058	1.0807611	0.2317864	225706_at	glucocorticoid induced transcript 1	GLCCI1
MF	0.0000846	0.2516541	1.0804838	0.2329087	210889_s_at	"Fc fragment of IgG, low affinity IIb, receptor (CD32)"	FCGR2B
MF	0.0056442	0.2565075	1.0793264	0.2376552	202411_at	"interferon, alpha-inducible protein 27"	IFI27
MF	0.0011617	0.2571792	1.0791681	0.2383124	213793_s_at	homer homolog 1 (Drosophila)	HOMER1
MF	0.0035052	0.2610545	1.0782629	0.2421065	234366_x_at	cytoskeleton associated protein 2	CKAP2
LB	3.48E-05	0.0836368	1.1297877	0.0740288	202391_at	"brain abundant, membrane attached signal protein 1"	BASP1
LB	0.0001564	0.0908885	1.125177	0.0807771	204602_at	dickkopf homolog 1 (Xenopus laevis)	DKK1
LB	< 1e-07	0.0908995	1.1251704	0.0807873	226702_at	"cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial"	CMPK2
LB	0.0020374	0.1677671	1.0917651	0.1536659	242625_at	radical S-adenosyl methionine domain containing 2	RSAD2
LB	0.005297	0.2045029	1.081185	0.189147	206834_at	"hemoglobin, delta"	HBD
LB	0.000847	0.206064	1.0807808	0.1906622	202688_at	"tumor necrosis factor (ligand) superfamily, member 10"	TNFSF10
LB	0.0026036	0.2133108	1.0789451	0.1977031	202687_s_at	"tumor necrosis factor (ligand) superfamily, member 10"	TNFSF10
LB	0.0089493	0.2147129	1.0785976	0.1990668	203153_at	interferon-induced protein with tetratricopeptide repeats 1	IFIT1
LB	0.002091	0.2209093	1.0770895	0.2050983	204415_at	"interferon, alpha-inducible protein 6"	IFI6
LB	0.002363	0.2209425	1.0770815	0.2051307	220059_at	signal transducing adaptor family member 1	STAP1
LB	0.0006209	0.2463012	1.0713414	0.2298999	208892_s_at	dual specificity phosphatase 6	DUSP6
LB	0.0075619	0.2571792	1.0690667	0.2405642	213793_s_at	homer homolog 1 (Drosophila)	HOMER1
LB	0.0133951	0.2750646	1.0655376	0.2581463	219410_at	transmembrane protein 45A	TMEM45A
LB	0.0116851	0.2783071	1.0649236	0.26134	214329_x_at	"tumor necrosis factor (ligand) superfamily, member 10"	TNFSF10
LB	0.004507	0.2803234	1.0645457	0.2633268	202145_at	"lymphocyte antigen 6 complex, locus E"	LY6E
LB	0.0075619	0.2908466	1.062618	0.2737075	229391_s_at	"family with sequence similarity 26, member F"	FAM26F
LB	0.0030039	0.3146272	1.0585187	0.2972335	208690_s_at	PDZ and LIM domain 1	PDLIM1
LB	0.0001564	0.322265	1.0572708	0.3048084	201487_at	cathepsin C	CTSC
LB	0.0131296	0.3243877	1.0569295	0.3069152	204159_at	"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)"	CDKN2C
LB	0.0133951	0.348959	1.053141	0.3313507	211434_s_at	chemokine (C-C motif) receptor-like 2	CCRL2
LB	0.002091	0.3582391	1.0517824	0.3406019	200736_s_at	glutathione peroxidase 1	GPX1
LB	0.0090492	0.4051587	1.0454352	0.3875502	218826_at	"solute carrier family 35, member F2"	SLC35F2
LB	0.0035714	0.4089888	1.0449516	0.391395	209536_s_at	EH-domain containing 4	EHD4
LB	0.0021864	0.464736	1.0384053	0.4475478	219374_s_at	"asparagine-linked glycosylation 9, alpha-1,2-mannosyltransferase homolog (S. cerevisiae)"	ALG9
